label_set,model,fold,checkpoint,checkpoint_path,checkpoint_sha256,class_id,class_name,images,instances,precision,recall,fdr,f1,map50,map50_95
final_dataset_20260828_u84126,yolo26n,fold0,best.pt,final_dataset_20260828_u84126/yolo26n/fold0/weights/best.pt,a36a23ab6800cc3f81931815f92403388485c1b7e18718a3370cf1982b0b3b08,0,HM,15,16,0.96600000,0.93800000,0.03400000,0.95179400,0.93500000,0.84700000
final_dataset_20260828_u84126,yolo26n,fold0,best.pt,final_dataset_20260828_u84126/yolo26n/fold0/weights/best.pt,a36a23ab6800cc3f81931815f92403388485c1b7e18718a3370cf1982b0b3b08,1,LQS,4,6,0.98900000,0.33300000,0.01100000,0.49824100,0.49100000,0.45800000
final_dataset_20260828_u84126,yolo26n,fold0,best.pt,final_dataset_20260828_u84126/yolo26n/fold0/weights/best.pt,a36a23ab6800cc3f81931815f92403388485c1b7e18718a3370cf1982b0b3b08,2,QHS,40,111,0.78700000,0.68500000,0.21300000,0.73246600,0.82300000,0.66300000
final_dataset_20260828_u84126,yolo26n,fold0,best.pt,final_dataset_20260828_u84126/yolo26n/fold0/weights/best.pt,a36a23ab6800cc3f81931815f92403388485c1b7e18718a3370cf1982b0b3b08,3,MS,243,463,0.87900000,0.84900000,0.12100000,0.86374000,0.91100000,0.73700000
final_dataset_20260828_u84126,yolo26n,fold0,best.pt,final_dataset_20260828_u84126/yolo26n/fold0/weights/best.pt,a36a23ab6800cc3f81931815f92403388485c1b7e18718a3370cf1982b0b3b08,4,A1_SU-35,57,280,0.99100000,0.96400000,0.00900000,0.97731400,0.99100000,0.91500000
final_dataset_20260828_u84126,yolo26n,fold0,best.pt,final_dataset_20260828_u84126/yolo26n/fold0/weights/best.pt,a36a23ab6800cc3f81931815f92403388485c1b7e18718a3370cf1982b0b3b08,5,A2_C-130,58,208,0.99500000,0.97000000,0.00500000,0.98234100,0.99300000,0.94400000
final_dataset_20260828_u84126,yolo26n,fold0,best.pt,final_dataset_20260828_u84126/yolo26n/fold0/weights/best.pt,a36a23ab6800cc3f81931815f92403388485c1b7e18718a3370cf1982b0b3b08,6,A3_C-17,51,197,0.99500000,0.98400000,0.00500000,0.98946900,0.98500000,0.94000000
final_dataset_20260828_u84126,yolo26n,fold0,best.pt,final_dataset_20260828_u84126/yolo26n/fold0/weights/best.pt,a36a23ab6800cc3f81931815f92403388485c1b7e18718a3370cf1982b0b3b08,7,A4_C-5,24,96,1.00000000,0.99300000,0.00000000,0.99648800,0.99500000,0.95400000
final_dataset_20260828_u84126,yolo26n,fold0,best.pt,final_dataset_20260828_u84126/yolo26n/fold0/weights/best.pt,a36a23ab6800cc3f81931815f92403388485c1b7e18718a3370cf1982b0b3b08,8,A5_F-16,48,204,0.99800000,0.98500000,0.00200000,0.99145700,0.99400000,0.89000000
final_dataset_20260828_u84126,yolo26n,fold0,best.pt,final_dataset_20260828_u84126/yolo26n/fold0/weights/best.pt,a36a23ab6800cc3f81931815f92403388485c1b7e18718a3370cf1982b0b3b08,9,A6_TU-160,18,64,0.97900000,1.00000000,0.02100000,0.98938900,0.99500000,0.95100000
final_dataset_20260828_u84126,yolo26n,fold0,best.pt,final_dataset_20260828_u84126/yolo26n/fold0/weights/best.pt,a36a23ab6800cc3f81931815f92403388485c1b7e18718a3370cf1982b0b3b08,10,A7_E-3,31,91,0.99500000,0.97800000,0.00500000,0.98642700,0.99300000,0.96300000
final_dataset_20260828_u84126,yolo26n,fold0,best.pt,final_dataset_20260828_u84126/yolo26n/fold0/weights/best.pt,a36a23ab6800cc3f81931815f92403388485c1b7e18718a3370cf1982b0b3b08,11,A8_B-52,33,114,0.99500000,1.00000000,0.00500000,0.99749400,0.99500000,0.95900000
final_dataset_20260828_u84126,yolo26n,fold0,best.pt,final_dataset_20260828_u84126/yolo26n/fold0/weights/best.pt,a36a23ab6800cc3f81931815f92403388485c1b7e18718a3370cf1982b0b3b08,12,A9_P-3C,38,129,0.96700000,0.98400000,0.03300000,0.97542600,0.99100000,0.91400000
final_dataset_20260828_u84126,yolo26n,fold0,best.pt,final_dataset_20260828_u84126/yolo26n/fold0/weights/best.pt,a36a23ab6800cc3f81931815f92403388485c1b7e18718a3370cf1982b0b3b08,13,A10_B-1B,31,144,0.99600000,0.97900000,0.00400000,0.98742700,0.99400000,0.94100000
final_dataset_20260828_u84126,yolo26n,fold0,best.pt,final_dataset_20260828_u84126/yolo26n/fold0/weights/best.pt,a36a23ab6800cc3f81931815f92403388485c1b7e18718a3370cf1982b0b3b08,14,A11_E-8,29,81,0.92500000,0.96300000,0.07500000,0.94361800,0.98200000,0.94000000
final_dataset_20260828_u84126,yolo26n,fold0,best.pt,final_dataset_20260828_u84126/yolo26n/fold0/weights/best.pt,a36a23ab6800cc3f81931815f92403388485c1b7e18718a3370cf1982b0b3b08,15,A12_TU-22,37,132,0.97700000,0.97200000,0.02300000,0.97449400,0.99400000,0.88700000
final_dataset_20260828_u84126,yolo26n,fold0,best.pt,final_dataset_20260828_u84126/yolo26n/fold0/weights/best.pt,a36a23ab6800cc3f81931815f92403388485c1b7e18718a3370cf1982b0b3b08,16,A13_F-15,43,257,1.00000000,0.96200000,0.00000000,0.98063200,0.99000000,0.84400000
final_dataset_20260828_u84126,yolo26n,fold0,best.pt,final_dataset_20260828_u84126/yolo26n/fold0/weights/best.pt,a36a23ab6800cc3f81931815f92403388485c1b7e18718a3370cf1982b0b3b08,17,A14_KC-135,71,282,0.98200000,0.97900000,0.01800000,0.98049800,0.99100000,0.94200000
final_dataset_20260828_u84126,yolo26n,fold0,best.pt,final_dataset_20260828_u84126/yolo26n/fold0/weights/best.pt,a36a23ab6800cc3f81931815f92403388485c1b7e18718a3370cf1982b0b3b08,18,A15_F-22,23,90,0.98100000,0.98900000,0.01900000,0.98498400,0.99400000,0.85000000
final_dataset_20260828_u84126,yolo26n,fold0,best.pt,final_dataset_20260828_u84126/yolo26n/fold0/weights/best.pt,a36a23ab6800cc3f81931815f92403388485c1b7e18718a3370cf1982b0b3b08,19,A16_FA-18,48,400,0.99600000,0.99000000,0.00400000,0.99299100,0.99400000,0.93900000
final_dataset_20260828_u84126,yolo26n,fold0,best.pt,final_dataset_20260828_u84126/yolo26n/fold0/weights/best.pt,a36a23ab6800cc3f81931815f92403388485c1b7e18718a3370cf1982b0b3b08,20,A17_TU-95,60,224,0.99300000,0.96400000,0.00700000,0.97828500,0.98100000,0.89100000
final_dataset_20260828_u84126,yolo26n,fold0,best.pt,final_dataset_20260828_u84126/yolo26n/fold0/weights/best.pt,a36a23ab6800cc3f81931815f92403388485c1b7e18718a3370cf1982b0b3b08,21,A18_KC-10,18,41,0.98700000,0.97600000,0.01300000,0.98146900,0.99300000,0.94100000
final_dataset_20260828_u84126,yolo26n,fold0,best.pt,final_dataset_20260828_u84126/yolo26n/fold0/weights/best.pt,a36a23ab6800cc3f81931815f92403388485c1b7e18718a3370cf1982b0b3b08,22,A19_SU-34,57,169,0.97100000,0.99300000,0.02900000,0.98187700,0.99400000,0.91500000
final_dataset_20260828_u84126,yolo26n,fold0,best.pt,final_dataset_20260828_u84126/yolo26n/fold0/weights/best.pt,a36a23ab6800cc3f81931815f92403388485c1b7e18718a3370cf1982b0b3b08,23,A20_SU-24,41,140,0.99300000,0.96400000,0.00700000,0.97828500,0.98600000,0.87800000
final_dataset_20260828_u84126,yolo26n,fold0,best.pt,final_dataset_20260828_u84126/yolo26n/fold0/weights/best.pt,a36a23ab6800cc3f81931815f92403388485c1b7e18718a3370cf1982b0b3b08,24,FSC,14,83,0.83100000,0.53000000,0.16900000,0.64721500,0.69300000,0.47100000
